#session_id	session_type	unit	ecephys_structure_acronym	stimulus	stimulus_blocks	block_durations	rec_len	firing_rates	ret_msg
766640955	functional_connectivity	950923885	LP	natural_movie_one_more_repeats	3.0	900.75	900.59	9.04	SUCCESS
766640955	functional_connectivity	950923885	LP	natural_movie_one_more_repeats	8.0	900.75	900.61	9.8	SUCCESS
766640955	functional_connectivity	950924001	LP	natural_movie_one_more_repeats	3.0	900.75	900.42	6.76	SUCCESS
766640955	functional_connectivity	950924001	LP	natural_movie_one_more_repeats	8.0	900.75	900.12	14.88	SUCCESS
766640955	functional_connectivity	950923941	LP	natural_movie_one_more_repeats	3.0	900.75	900.44	4.88	SUCCESS
766640955	functional_connectivity	950923941	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	9.72	SUCCESS
766640955	functional_connectivity	950924088	LP	natural_movie_one_more_repeats	3.0	900.75	899.34	11.2	SUCCESS
766640955	functional_connectivity	950924088	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	11.4	SUCCESS
766640955	functional_connectivity	950923955	LP	natural_movie_one_more_repeats	3.0	900.75	899.79	9.17	SUCCESS
766640955	functional_connectivity	950923955	LP	natural_movie_one_more_repeats	8.0	900.75	899.43	12.21	SUCCESS
766640955	functional_connectivity	950923928	LP	natural_movie_one_more_repeats	3.0	900.75	899.74	4.22	SUCCESS
766640955	functional_connectivity	950923928	LP	natural_movie_one_more_repeats	8.0	900.75	900.18	8.96	SUCCESS
766640955	functional_connectivity	950924229	LP	natural_movie_one_more_repeats	3.0	900.75	899.35	6.47	SUCCESS
766640955	functional_connectivity	950924229	LP	natural_movie_one_more_repeats	8.0	900.75	900.69	10.58	SUCCESS
766640955	functional_connectivity	950924191	LP	natural_movie_one_more_repeats	3.0	900.75	900.7	11.82	SUCCESS
766640955	functional_connectivity	950924191	LP	natural_movie_one_more_repeats	8.0	900.75	900.74	13.65	SUCCESS
766640955	functional_connectivity	950924175	LP	natural_movie_one_more_repeats	3.0	900.75	899.29	4.43	SUCCESS
766640955	functional_connectivity	950924175	LP	natural_movie_one_more_repeats	8.0	900.75	898.59	6.84	SUCCESS
766640955	functional_connectivity	950924160	LP	natural_movie_one_more_repeats	3.0	900.75	899.8	7.77	SUCCESS
766640955	functional_connectivity	950924160	LP	natural_movie_one_more_repeats	8.0	900.75	900.48	8.37	SUCCESS
766640955	functional_connectivity	950924318	LP	natural_movie_one_more_repeats	3.0	900.75	900.19	4.17	SUCCESS
766640955	functional_connectivity	950924318	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	10.15	SUCCESS
766640955	functional_connectivity	950924303	LP	natural_movie_one_more_repeats	3.0	900.75	899.18	5.1	SUCCESS
766640955	functional_connectivity	950924303	LP	natural_movie_one_more_repeats	8.0	900.75	900.69	8.43	SUCCESS
766640955	functional_connectivity	950924267	LP	natural_movie_one_more_repeats	3.0	900.75	900.47	8.51	SUCCESS
766640955	functional_connectivity	950924267	LP	natural_movie_one_more_repeats	8.0	900.75	900.51	12.12	SUCCESS
766640955	functional_connectivity	950924255	LP	natural_movie_one_more_repeats	3.0	900.75	900.39	6.29	SUCCESS
766640955	functional_connectivity	950924255	LP	natural_movie_one_more_repeats	8.0	900.75	900.58	11.04	SUCCESS
766640955	functional_connectivity	950924406	LP	natural_movie_one_more_repeats	3.0	900.75	900.42	6.87	SUCCESS
766640955	functional_connectivity	950924406	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	9.98	SUCCESS
766640955	functional_connectivity	950924377	LP	natural_movie_one_more_repeats	3.0	900.75	900.68	13.33	SUCCESS
766640955	functional_connectivity	950924377	LP	natural_movie_one_more_repeats	8.0	900.75	900.72	15.73	SUCCESS
766640955	functional_connectivity	950924527	LP	natural_movie_one_more_repeats	3.0	900.75	899.12	6.82	SUCCESS
766640955	functional_connectivity	950924527	LP	natural_movie_one_more_repeats	8.0	900.75	900.63	11.58	SUCCESS
766640955	functional_connectivity	950924514	LP	natural_movie_one_more_repeats	3.0	900.75	900.67	10.52	SUCCESS
766640955	functional_connectivity	950924514	LP	natural_movie_one_more_repeats	8.0	900.75	900.71	14.16	SUCCESS
766640955	functional_connectivity	950924499	LP	natural_movie_one_more_repeats	3.0	900.75	900.72	14.05	SUCCESS
766640955	functional_connectivity	950924499	LP	natural_movie_one_more_repeats	8.0	900.75	900.56	12.21	SUCCESS
766640955	functional_connectivity	950924586	LP	natural_movie_one_more_repeats	3.0	900.75	900.65	8.07	SUCCESS
766640955	functional_connectivity	950924586	LP	natural_movie_one_more_repeats	8.0	900.75	900.68	10.72	SUCCESS
766640955	functional_connectivity	950924538	LP	natural_movie_one_more_repeats	3.0	900.75	900.24	8.96	SUCCESS
766640955	functional_connectivity	950924538	LP	natural_movie_one_more_repeats	8.0	900.75	900.71	12.75	SUCCESS
766640955	functional_connectivity	950924549	LP	natural_movie_one_more_repeats	3.0	900.75	900.37	2.7	SUCCESS
766640955	functional_connectivity	950924549	LP	natural_movie_one_more_repeats	8.0	900.75	898.4	3.24	SUCCESS
766640955	functional_connectivity	950924633	LP	natural_movie_one_more_repeats	3.0	900.75	900.66	7.99	SUCCESS
766640955	functional_connectivity	950924633	LP	natural_movie_one_more_repeats	8.0	900.75	900.61	17.57	SUCCESS
766640955	functional_connectivity	950924621	LP	natural_movie_one_more_repeats	3.0	900.75	900.11	2.55	SUCCESS
766640955	functional_connectivity	950924621	LP	natural_movie_one_more_repeats	8.0	900.75	900.58	8.37	SUCCESS
766640955	functional_connectivity	950924670	LP	natural_movie_one_more_repeats	3.0	900.75	900.21	10.4	SUCCESS
766640955	functional_connectivity	950924670	LP	natural_movie_one_more_repeats	8.0	900.75	899.92	9.11	SUCCESS
766640955	functional_connectivity	950924658	LP	natural_movie_one_more_repeats	3.0	900.75	900.68	9.44	SUCCESS
766640955	functional_connectivity	950924658	LP	natural_movie_one_more_repeats	8.0	900.75	900.58	9.44	SUCCESS
766640955	functional_connectivity	950924716	LP	natural_movie_one_more_repeats	3.0	900.75	900.05	4.73	SUCCESS
766640955	functional_connectivity	950924716	LP	natural_movie_one_more_repeats	8.0	900.75	900.59	9.48	SUCCESS
766640955	functional_connectivity	950924778	LP	natural_movie_one_more_repeats	3.0	900.75	900.63	9.52	SUCCESS
766640955	functional_connectivity	950924778	LP	natural_movie_one_more_repeats	8.0	900.75	900.54	9.66	SUCCESS
766640955	functional_connectivity	950924942	LP	natural_movie_one_more_repeats	3.0	900.75	900.73	8.3	SUCCESS
766640955	functional_connectivity	950924942	LP	natural_movie_one_more_repeats	8.0	900.75	899.76	8.3	SUCCESS
766640955	functional_connectivity	950924929	LP	natural_movie_one_more_repeats	3.0	900.75	900.67	7.87	SUCCESS
766640955	functional_connectivity	950924929	LP	natural_movie_one_more_repeats	8.0	900.75	899.28	13.8	SUCCESS
766640955	functional_connectivity	950924918	LP	natural_movie_one_more_repeats	3.0	900.75	900.15	6.64	SUCCESS
766640955	functional_connectivity	950924918	LP	natural_movie_one_more_repeats	8.0	900.75	900.66	8.58	SUCCESS
766640955	functional_connectivity	950931271	LP	natural_movie_one_more_repeats	3.0	900.75	899.88	5.24	SUCCESS
766640955	functional_connectivity	950931271	LP	natural_movie_one_more_repeats	8.0	900.75	899.75	4.23	SUCCESS
766640955	functional_connectivity	950924964	LP	natural_movie_one_more_repeats	3.0	900.75	898.19	2.99	SUCCESS
766640955	functional_connectivity	950924964	LP	natural_movie_one_more_repeats	8.0	900.75	897.83	3.28	SUCCESS
766640955	functional_connectivity	950931534	VISp	natural_movie_one_more_repeats	3.0	900.75	891.96	0.61	SUCCESS
766640955	functional_connectivity	950931534	VISp	natural_movie_one_more_repeats	8.0	900.75	894.54	1.14	SUCCESS
766640955	functional_connectivity	950929451	VISp	natural_movie_one_more_repeats	3.0	900.75	875.93	0.66	SUCCESS
766640955	functional_connectivity	950929451	VISp	natural_movie_one_more_repeats	8.0	900.75	899.4	0.18	SUCCESS
766640955	functional_connectivity	950929626	VISp	natural_movie_one_more_repeats	3.0	900.75	900.3	8.87	SUCCESS
766640955	functional_connectivity	950929626	VISp	natural_movie_one_more_repeats	8.0	900.75	900.74	17.1	SUCCESS
766640955	functional_connectivity	950929641	VISp	natural_movie_one_more_repeats	3.0	900.75	895.6	0.98	SUCCESS
766640955	functional_connectivity	950929641	VISp	natural_movie_one_more_repeats	8.0	900.75	900.15	2.3	SUCCESS
766640955	functional_connectivity	950929748	VISp	natural_movie_one_more_repeats	3.0	900.75	899.6	0.47	SUCCESS
766640955	functional_connectivity	950929748	VISp	natural_movie_one_more_repeats	8.0	900.75	899.02	1.99	SUCCESS
766640955	functional_connectivity	950929723	VISp	natural_movie_one_more_repeats	3.0	900.75	900.1	8.01	SUCCESS
766640955	functional_connectivity	950929723	VISp	natural_movie_one_more_repeats	8.0	900.75	899.04	5.98	SUCCESS
766640955	functional_connectivity	950929833	VISp	natural_movie_one_more_repeats	3.0	900.75	900.31	7.54	SUCCESS
766640955	functional_connectivity	950929833	VISp	natural_movie_one_more_repeats	8.0	900.75	900.27	9.69	SUCCESS
766640955	functional_connectivity	950929874	VISp	natural_movie_one_more_repeats	3.0	900.75	899.81	5.12	SUCCESS
766640955	functional_connectivity	950929874	VISp	natural_movie_one_more_repeats	8.0	900.75	900.66	8.66	SUCCESS
766640955	functional_connectivity	950929988	VISp	natural_movie_one_more_repeats	3.0	900.75	882.97	0.3	SUCCESS
766640955	functional_connectivity	950929988	VISp	natural_movie_one_more_repeats	8.0	900.75	900.29	2.86	SUCCESS
766640955	functional_connectivity	950929916	VISp	natural_movie_one_more_repeats	3.0	900.75	900.7	9.32	SUCCESS
766640955	functional_connectivity	950929916	VISp	natural_movie_one_more_repeats	8.0	900.75	900.67	9.9	SUCCESS
766640955	functional_connectivity	950929889	VISp	natural_movie_one_more_repeats	3.0	900.75	900.28	2.95	SUCCESS
766640955	functional_connectivity	950929889	VISp	natural_movie_one_more_repeats	8.0	900.75	900.66	2.68	SUCCESS
766640955	functional_connectivity	950930055	VISp	natural_movie_one_more_repeats	3.0	900.75	899.13	1.45	SUCCESS
766640955	functional_connectivity	950930055	VISp	natural_movie_one_more_repeats	8.0	900.75	899.03	1.96	SUCCESS
766640955	functional_connectivity	950930042	VISp	natural_movie_one_more_repeats	3.0	900.75	900.29	8.38	SUCCESS
766640955	functional_connectivity	950930042	VISp	natural_movie_one_more_repeats	8.0	900.75	900.66	9.87	SUCCESS
766640955	functional_connectivity	950930027	VISp	natural_movie_one_more_repeats	3.0	900.75	900.74	11.18	SUCCESS
